,Bedrooms,Bathrooms,Offers,Neighborhood_East,Neighborhood_North,Neighborhood_West,Brick_No,Brick_Yes,Price,SqFt,pred
26,4,2,3,0,0,1,1,0,137000,2000.0,147442.35736801423
105,4,3,4,0,0,1,1,0,146900,2505.7000000000003,171947.24418053744
23,3,2,3,0,1,0,0,1,106100,1820.0,125307.08429308125
49,3,2,3,0,1,0,0,1,107500,1700.0,119492.20112617839
15,4,2,1,0,0,1,1,0,145800,1780.0,136781.73822869232
24,4,3,2,1,0,0,0,1,156400,2210.0,144205.4545855156
116,5,4,1,0,0,1,0,1,196476,2290.0,180564.15371570052
76,3,2,2,0,0,1,1,0,129800,1930.0,144050.3421873209
53,3,2,3,0,1,0,1,0,130800,2100.0,119805.98298818363
38,3,2,1,0,0,1,1,0,131300,1720.0,133874.2966452409
83,3,3,2,1,0,0,1,0,147700,2410.0,134827.7645026827
47,3,2,6,0,1,0,1,0,90300,2050.0,117383.1150019741
